 Quarterly Monetary Aggregates (₦' Billion),,,,,,,,,,,,,,
Period,NFA,NCG,CPS,CCP,CSLG,RM,M1,QM,M2,CBS,M3,PSDD,Reserves,CIC
Q1," 5,108.96 ", 471.89 ," 2,126.96 "," 2,040.81 ", 80.80 , 728.89 ," 1,837.47 "," 1,470.20 "," 3,307.67 ", 0.00 , 0.00 ," 1,357.50 ", 165.18 , 563.71 
Q2," 5,568.81 ", 360.79 ," 2,303.70 "," 2,257.45 ", 42.20 , 797.64 ," 2,216.93 "," 1,694.89 "," 3,911.82 ", 0.00 , 0.00 ," 1,702.32 ", 194.81 , 602.83 
Q3," 5,718.70 ",(235.14)," 2,571.68 "," 2,494.47 ", 70.73 , 815.95 ," 2,328.99 "," 1,991.68 "," 4,320.67 ", 0.00 , 0.00 ," 1,804.64 ", 200.81 , 615.14 
Q4," 6,307.86 ","(1,936.62)"," 2,650.82 "," 2,556.92 ", 80.65 , 974.90 ," 2,280.65 "," 1,747.25 "," 4,027.90 ", 0.00 , 0.00 ," 1,629.71 ", 195.65 , 779.25 
2007,,,,,,,,,,,,,,
Q1," 6,997.94 ","(2,508.63)"," 3,048.94 "," 2,982.22 ", 53.48 , 841.25 ," 2,602.43 "," 2,195.88 "," 4,798.32 ", 0.00 , 0.00 ," 2,009.13 ", 113.84 , 727.41 
Q2," 7,633.41 ","(2,615.01)"," 3,503.72 "," 3,463.44 ", 40.28 , 858.30 ," 2,639.06 "," 2,477.19 "," 5,116.25 ", 0.00 , 0.00 ," 2,113.32 ", 143.35 , 714.96 
Q3," 6,977.27 ","(2,462.86)"," 4,203.17 "," 4,144.17 ", 59.00 , 967.28 ," 3,038.61 "," 2,634.01 "," 5,672.62 ", 0.00 , 0.00 ," 2,495.22 ", 244.97 , 722.31 
Q4," 7,339.74 ","(1,801.30)"," 5,550.61 "," 4,784.25 ", 87.75 ," 1,196.70 "," 3,188.92 "," 2,686.84 "," 5,875.76 ", 813.60 ," 6,689.37 "," 2,455.98 ", 240.84 , 960.77 
2008,,,,,,,,,,,,,,
Q1," 8,097.33 ","(2,919.71)"," 6,917.15 "," 5,774.50 ", 102.00 ," 1,209.54 "," 4,702.74 "," 3,423.18 "," 8,125.91 ", 659.16 ," 8,785.08 "," 4,038.47 ", 316.25 , 891.82 
Q2," 8,325.74 ","(2,723.83)"," 7,764.49 "," 6,511.91 ", 99.40 ," 1,563.60 "," 4,526.38 "," 3,605.80 "," 8,132.19 ", 737.91 ," 8,870.09 "," 3,853.33 ", 645.32 , 918.28 
Q3," 8,628.35 ","(3,429.81)"," 8,527.43 "," 7,111.21 ", 96.14 ," 1,277.32 "," 4,642.67 "," 4,328.40 "," 8,971.08 ", 497.59 ," 9,468.67 "," 3,885.45 ", 300.52 , 976.36 
Q4," 8,629.13 ","(3,001.60)"," 9,069.36 "," 7,444.67 ", 149.77 ," 1,584.29 "," 5,067.28 "," 4,247.83 "," 9,315.11 ", 198.74 ," 9,513.85 "," 4,174.38 ", 428.73 ," 1,155.33 "
2009,,,,,,,,,,,,,,
Q1," 8,169.07 ","(2,505.73)"," 9,236.51 "," 7,542.23 ", 210.87 ," 1,424.44 "," 4,807.71 "," 4,298.05 "," 9,105.76 ", 199.19 ," 9,304.95 "," 4,003.64 ", 386.67 ," 1,037.77 "
Q2," 7,652.48 ","(2,012.46)"," 9,294.57 "," 7,669.28 ", 251.66 ," 1,329.76 "," 4,573.48 "," 4,566.86 "," 9,140.34 ", 213.55 ," 9,353.89 "," 3,827.01 ", 323.16 ," 1,006.60 "
Q3," 6,915.58 ","(2,461.63)"," 10,448.98 "," 8,626.59 ", 285.45 ," 2,013.75 "," 4,567.16 "," 5,073.11 "," 9,640.27 ", 17.55 ," 9,657.81 "," 3,788.44 ", 981.90 ," 1,031.85 "
Q4," 7,324.76 ","(1,833.75)"," 10,662.45 "," 8,529.57 ", 310.32 ," 1,696.89 "," 5,210.68 "," 5,707.99 "," 10,918.67 ", 9.35 ," 10,928.02 "," 4,283.44 ", 515.34 ," 1,181.54 "
2010,,,,,,,,,,,,,,
Q1," 7,040.59 ","(1,311.96)"," 10,573.32 "," 8,557.83 ", 321.81 ," 1,849.51 "," 5,145.34 "," 5,995.99 "," 11,141.33 ", 0.00 ," 11,141.33 "," 4,311.78 ", 763.05 ," 1,086.46 "
Q2," 6,472.11 ","(1,074.70)"," 10,676.25 "," 8,668.81 ", 319.17 ," 1,607.14 "," 4,992.78 "," 5,914.52 "," 10,907.30 ", 54.30 ," 10,961.60 "," 4,197.37 ", 543.51 ," 1,063.63 "
Q3," 6,356.92 ",(739.04)," 10,672.39 "," 8,837.20 ", 341.24 ," 1,445.35 "," 5,296.25 "," 5,934.91 "," 11,231.16 ", 0.00 ," 11,231.16 "," 4,415.30 ", 319.87 ," 1,125.39 "
Q4," 6,195.15 ", 324.14 ," 9,279.40 "," 7,367.60 ", 369.81 ," 1,939.38 "," 5,721.54 "," 5,941.37 "," 11,662.91 ", 0.00 ," 11,662.91 "," 4,639.16 ", 561.15 ," 1,378.13 "
2011,,,,,,,,,,,,,,
Q1," 6,765.28 ", 169.01 ," 8,853.79 "," 7,211.34 ", 376.77 ," 1,732.64 "," 5,745.62 "," 6,188.14 "," 11,933.75 ", 91.12 ," 12,024.87 "," 4,632.84 ", 316.18 ," 1,416.38 "
Q2," 6,105.08 ", 795.07 ," 8,924.89 "," 6,943.44 ", 420.24 ," 2,158.85 "," 5,920.93 "," 6,389.66 "," 12,310.59 ", 0.00 ," 12,310.59 "," 4,904.39 ", 804.78 ," 1,353.98 "
Q3," 6,350.33 "," 1,721.42 "," 9,299.45 "," 7,314.51 ", 400.16 ," 2,021.72 "," 6,160.60 "," 6,558.82 "," 12,719.42 ", 444.18 ," 13,163.60 "," 5,148.75 ", 679.27 ," 1,342.36 "
Q4," 6,643.75 ", 772.79 ," 12,741.65 "," 6,972.37 ", 513.22 ," 2,905.96 "," 6,652.32 "," 6,526.69 "," 13,179.00 "," 1,013.09 "," 14,192.09 "," 5,407.18 "," 1,339.92 "," 1,566.05 "
2012 ,,,,,,,,,,,,,,
Q1," 6,977.50 ", 760.92 ," 12,641.72 "," 6,961.41 ", 538.11 ," 2,694.37 "," 6,604.10 "," 6,698.90 "," 13,302.99 "," 1,899.58 "," 15,202.57 "," 5,462.68 "," 1,261.53 "," 1,432.83 "
Q2," 7,193.70 ",(149.91)," 13,424.72 "," 7,574.60 ", 586.27 ," 2,685.44 "," 6,675.42 "," 6,837.03 "," 13,512.44 "," 1,577.28 "," 15,089.73 "," 5,587.03 "," 1,321.70 "," 1,363.73 "
Q3," 9,003.74 ",(719.81)," 13,893.49 "," 7,664.02 ", 599.03 ," 3,299.44 "," 6,602.82 "," 7,625.08 "," 14,227.90 "," 1,093.66 "," 15,321.57 "," 5,532.31 "," 1,950.61 "," 1,348.84 "
Q4," 8,715.65 ", 785.03 ," 13,732.83 "," 7,672.66 ", 665.88 ," 3,705.06 "," 7,370.03 "," 8,021.19 "," 15,391.22 "," 2,644.72 "," 18,035.94 "," 6,068.48 "," 2,073.35 "," 1,631.72 "
2013,,,,,,,,,,,,,,
Q1," 9,368.37 ",(580.87)," 13,926.71 "," 7,901.82 ", 661.77 ," 3,911.47 "," 7,347.22 "," 8,591.75 "," 15,938.96 "," 1,787.83 "," 17,726.79 "," 6,104.12 "," 2,402.95 "," 1,508.51 "
Q2," 8,937.81 ", 779.37 ," 14,395.62 "," 8,309.38 ", 660.34 ," 3,236.15 "," 7,376.73 "," 8,507.82 "," 15,884.55 "," 3,245.86 "," 19,130.41 "," 6,247.93 "," 1,810.65 "," 1,425.51 "
